,date,period,demand_mw,bid_price,cumulative_bid_volumn
459,2023-01-10,29,6928.632,299.67,6933.700000000001
460,2023-01-10,30,6935.521,299.87,6961.400000000001
461,2023-01-10,31,7004.35,306.24,7012.200000000001
462,2023-01-10,32,7019.439,306.24,7029.500000000001
463,2023-01-10,33,6986.493,299.97,6994.400000000001
464,2023-01-10,34,6965.5,299.87,6994.5
465,2023-01-10,35,6876.552,280.0,6901.900000000001
466,2023-01-10,36,6825.659,250.0,6832.3
467,2023-01-10,37,6818.706,279.9,6822.9
468,2023-01-10,38,6833.884,280.0,6859.300000000001
469,2023-01-10,39,6833.283,280.0,6856.6
470,2023-01-10,40,6809.715,280.0,6835.8
471,2023-01-10,41,6792.907,280.0,6802.7
472,2023-01-10,42,6741.691,275.0,6746.800000000001
473,2023-01-10,43,6673.552,250.0,6753.0
474,2023-01-10,44,6537.97,248.0,6546.500000000001
475,2023-01-10,45,6400.967,238.0,6404.900000000001
476,2023-01-10,46,6313.709,250.0,6319.8
477,2023-01-10,47,6245.362,250.0,6288.8
478,2023-01-10,48,6166.592,250.0,6238.1
479,2023-01-11,1,6062.217,238.0,6074.5
480,2023-01-11,2,5947.589,200.0,5956.5
481,2023-01-11,3,5846.425,199.67,5854.1
482,2023-01-11,4,5751.423,167.26,5754.1
483,2023-01-11,5,5704.352,149.83,5714.1
484,2023-01-11,6,5672.211,145.0,5674.1
485,2023-01-11,7,5610.628,123.01,5614.1
486,2023-01-11,8,5533.27,108.24,5544.1
487,2023-01-11,9,5489.738,105.97,5504.1
488,2023-01-11,10,5542.628,115.51,5544.1
489,2023-01-11,11,5656.968,145.0,5680.5
490,2023-01-11,12,5821.679,199.67,5825.500000000001
491,2023-01-11,13,5948.061,199.87,5962.700000000001
492,2023-01-11,14,6107.618,200.0,6143.1
493,2023-01-11,15,6329.071,210.0,6335.300000000001
494,2023-01-11,16,6555.385,280.18,6559.900000000001
495,2023-01-11,17,6687.1,250.0,6723.1
496,2023-01-11,18,6791.937,298.0,6798.9
497,2023-01-11,19,6840.281,299.57,6864.900000000001
498,2023-01-11,20,6872.337,299.57,6878.1
499,2023-01-11,21,6909.592,280.0,6916.5
500,2023-01-11,22,6930.451,298.0,6932.300000000001
501,2023-01-11,23,6958.626,299.67,6962.7
502,2023-01-11,24,6960.853,299.67,6980.7
503,2023-01-11,25,6948.184,299.67,6948.900000000001
504,2023-01-11,26,6923.637,299.67,6941.700000000001
505,2023-01-11,27,6952.449,299.67,6966.7
506,2023-01-11,28,6957.672,299.67,6976.3
507,2023-01-11,29,6924.92,280.0,6933.1
508,2023-01-11,30,6874.718,250.0,6902.1
509,2023-01-11,31,6845.216,248.0,6853.3
510,2023-01-11,32,6817.011,210.0,6824.500000000001
511,2023-01-11,33,6775.641,200.0,6800.300000000001
512,2023-01-11,34,6799.114,206.88,6813.3
513,2023-01-11,35,6797.643,206.88,6806.900000000001
514,2023-01-11,36,6754.767,200.0,6792.700000000001
515,2023-01-11,37,6688.899,200.0,6748.3
516,2023-01-11,38,6712.273,200.0,6759.700000000001
517,2023-01-11,39,6747.625,206.88,6761.5
518,2023-01-11,40,6720.235,200.0,6736.900000000001
519,2023-01-11,41,6685.545,200.0,6697.7
520,2023-01-11,42,6646.53,200.0,6688.1
521,2023-01-11,43,6568.238,200.05,6575.900000000001
522,2023-01-11,44,6429.033,199.87,6441.500000000001
